排名,cities,pop,GDP,GDP_Average,GDP_Avrg(Dollar),lon,lat
292,辽源市,117.66,410.1,34853,5149,,
293,伊春市,114.81,202.4,17629,2604,,
294,新余市,113.89,631.22,55425,8187,,
295,版纳州,113.4,160.99,14196,2097,,
296,鹰潭市,112.49,342.7,30465,4500,,
297,舟山市,112.13,633.45,56492,8345,,
298,酒泉市,109.59,405.03,36957,5459,,
299,甘孜州,109.19,122.83,11249,1662,,
300,中卫市,108.08,169.23,15657,2313,,
301,鹤岗市,105.87,251,23709,3502,,
302,鄂州市,104.87,395.29,37694,5568,,
303,锡林郭勒盟,102.8,591.25,57513,8496,,
304,七台河市,92.04,302,32811,4847,,
305,阿坝州,89.87,132.76,14772,2182,,
306,防城港市,86.69,319.54,36860,5445,,
307,铜川市,83.44,187.73,22498,3323,,
308,石嘴山市,72.55,298.07,41086,6069,,
309,铜陵市,72.4,466.6,64448,9520,,
310,日喀则地区,70.33,86.3,12271,1813,,
311,甘南州,68.91,67.84,9844,1454,,
312,三亚市,68.54,230.79,33672,4974,,
313,济源市,67.57,343.4,50821,7507,,
314,昌都地区,65.75,67.5,10266,1517,,
315,吐鲁番地区,62.27,185.3,29759,4396,,
316,阿勒泰地区,60.33,134.86,22354,3302,,
317,哈密地区,57.24,165.96,28994,4283,,
318,拉萨市,55.94,178.91,31981,4724,,
319,怒江州,53.4,53.36,9993,1476,,
320,乌海市,53.29,391.12,73394,10842,,
321,克孜勒苏州,52.56,38,7230,1068,,
322,大兴安岭地区,51.16,98.18,19192,2835,,
323,海西州,48.93,365.49,74691,11033,,
324,金昌市,46.41,210.51,45364,6701,,
325,那曲地区,46.24,51.15,11062,1634,,
326,博尔塔拉州,44.37,128.27,28910,4271,,
327,海南州,44.17,69.89,15823,2337,,
328,迪庆州,40,77.1,19275,2847,,
329,克拉玛依市,39.1,710.2,181633,26831,,
330,玉树州,37.84,31.86,8418,1244,,
331,山南地区,32.9,54.03,16423,2426,,
332,海北州,27.33,54.53,19952,2947,,
333,黄南州,25.67,43.68,17015,2513,,
334,嘉峪关市,23.19,183.91,79322,11718,,
335,阿拉善盟,23.13,305.89,132229,19533,,
336,杨凌示范区,20.12,47.29,23509,3473,,
337,林芝地区,19.51,53.1,27216,4020,,
338,果洛州,18.17,20.43,11245,1661,,
339,阿里地区,9.55,18.5,19379,2863,,
